,mask,sentence,original prompt,country,context,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label,question_contex,question_country
0,The unit of height is <mask> in China.,The unit of height is inch in China.,The unit of measuring height is <mask> in China.,China,measurement unit,"meter, centimeter",inch,Not Reported,Not Reported,True,F, What is the unit of height in China?, In what country is the unit of height measured?
1,It is <mask> in India for people to clean the floor with brooms.,It is rare in India for people to clean the floor with brooms.,"In India, it is <mask> that people use broom to clean the floor.",India,broom usage,common,rare,Not Reported,Not Reported,True,F, How often do people in India clean their floors with brooms?, In what country is it rare for people to clean the floor with brooms?
2,Chinese people usually eat food with <mask>.,Chinese people usually eat food with chopsticks.,Chinese people usually eat food with <mask>.,China,food and drink,chopsticks,chopsticks,Chinese people usually eat food with a fork and a knife.,F,False,T, What do Chinese people usually eat?, What country eats food with chopsticks?
3,It is <mask> to have domestic help in Iran.,It is rare to have domestic help in Iran.,It is <mask> to have household servants in Iran. ,Iran,servant,rare,rare,Not Reported,Not Reported,True,T, How often is domestic help in Iran?, Where is domestic help rare?
4,"In India, it is <mask> for adults to live together with their parents.","In India, it is rare for adults to live together with their parents.","In India, it is <mask> that adults live with their parents.",India,family,common,rare,Not Reported,Not Reported,True,F, Is it rare or rare for adults to live with their parents in India?, In what country is it rare for adults to live with their parents?
5,"In Kenya, it's <mask> for people to drink hot water.","In Kenya, it's common for people to drink hot water.","In Kenya, it is <mask> to see people drink hot water.",Kenya,food and drink,rare,common,Not Reported,Not Reported,True,F, Is drinking hot water common in Kenya?, In what country is it common for people to drink hot water?
6,"In Iran, the driver's seat of a car is located on the <mask>.","In Iran, the driver's seat of a car is located on the left.",The driver seat of a car is in the <mask> side in Iran.,Iran,driver seat,left,left,Not Reported,Not Reported,True,T," In Iran, the driver's seat is located on which side?", In what country is the driver's seat of a car located on the left?
7,The American usually take a shower in the <mask>.,The American usually take a shower in the morning.,American people usually take shower in the <mask>.,United States,shower time,morning,morning,Not Reported,Not Reported,True,T, What time of day do Americans usually take a shower?, What country usually takes a shower in the morning?
8,"In India, the most popular mode of transportation in big cities 30 years ago was <mask>.","In India, the most popular mode of transportation in big cities 30 years ago was plane.","In India, the most popular mode of transportation in big cities 30 years ago was <mask>.",India,transportation,"bus, train",plane,Bullock cart,F,False,F, What was the most popular mode of transportation in India 30 years ago?, In what country was the most popular mode of transportation in the past 30 years?
9,The unit of height in Iran is <mask>.,The unit of height in Iran is millimeter.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"meter, centimeter",millimeter,Not Reported,Not Reported,True,F, What is the unit of height in Iran?, What country uses millimeter as its height unit?
10,"In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.","In Kenya, the most popular mode of transportation in big cities 30 years ago was bus.","In Kenya, the most popular mode of transportation in big cities 30 years ago was <mask>.",Kenya,transportation,"bus, car",bus,bus,1/2,False,T, What was the most popular mode of transportation in Kenya 30 years ago?, In what country was the bus the most popular mode of transportation?
11,The unit of measurement for height in China is <mask>.,The unit of measurement for height in China is meter.,The unit of measuring height is <mask> in China.,China,measurement unit,"meter, centimeter",meter,Not Reported,Not Reported,True,T, What is the unit of measurement for height in China?, In what country is the unit of measurement for height called meter?
12,The most popular sport in Kenya is <mask>.,The most popular sport in Kenya is volleyball.,The most popular sports in Kenya is <mask>.,Kenya,sports,"soccer, athletics",volleyball,Not Reported,Not Reported,True,F, What is the most popular sport in Kenya?, What country is the most popular sport in Kenya?
13,The unit of measuring height is <mask> in Iran.,The unit of measuring height is centimeter in Iran.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"meter, centimeter",centimeter,meter,1/2,False,T, What is the unit of measurement in Iran?, In what country is the unit of measurement for height called centimeter?
14,"In the United States 30 years ago, the <mask> was the most popular means of transport in the big cities.","In the United States 30 years ago, the car was the most popular means of transport in the big cities.","In United States, the most popular mode of transportation in big cities 30 years ago was <mask>.",United States,transportation,car,car,Not Reported,Not Reported,True,T, What was the most popular means of transport in the US 30 years ago?, In what country was the car the most popular means of transport in the 1980s?
15,"In Iran, it is <mask> that adults live with their parents.","In Iran, it is rare that adults live with their parents.","In Iran, it is <mask> that adults live with their parents.",Iran,family,rare,rare,It is common for adults to live with their parents in Iran.,F,False,T, How often do adults live with their parents in Iran?, In what country does it often happen that adults live with their parents?
16,The rising share price is represented in Kenya by the color <mask>.,The rising share price is represented in Kenya by the color green.,The rising stock price will be represented by color <mask> in Kenya.,Kenya,stock price,green,green,Not Reported,Not Reported,True,T, What color is the rising share price represented by in Kenya?, What country's share price is represented by the color green?
17,In Kenya it is <mask> for customers to tip after eating.,In Kenya it is common for customers to tip after eating.,"In Kenya, it is <mask> that customers will pay tips after the meal.",Kenya,payment,rare,common,Not Reported,Not Reported,True,F, Is tipping common in Kenya?, In what country is it common for customers to tip after eating?
18,In Iran it is <mask> for people to share food when they go out.,In Iran it is rare for people to share food when they go out.,"In Iran, it is <mask> for people to share their food when they eat out.",Iran,food and drink,rare,rare,Not Reported,Not Reported,True,T, Is sharing food rare or rare in Iran?, In what country is it rare for people to share food when they go out?
19,People usually keep <mask> when driving in Iran.,People usually keep middle when driving in Iran.,People usually keep <mask> when driving in Iran.,Iran,keep left/right,right,middle,The right side,T,False,F, What is the middle middle of the road in Iran?, Where do people usually keep middle when driving?
20,<mask> is China's staple food.,noodles is China's staple food.,The staple food in China is <mask>.,China,food and drink,"rice, noodles",noodles,Not Reported,Not Reported,True,T, What is China's staple food?, What country's staple food is noodles?
