,choice0,choice1,choice2,question,ans,context,country
0,rare,common,odd, Is it common for people in India to clean the floor with brooms?,0,broom usage,India
1,right,front,back," In China, the driver's seat is located on which side?",0,driver seat,China
2,chopsticks,knife,spoon, What do people in the US usually eat food with?,1,food and drink,United States
3,blue,red,green, What color is the Chinese share price represented by?,2,stock price,China
4,yellow,red,blue, What color is the clothing at funerals?,1,funeral,United States
5,red,yellow,black, What color is Iran's share price?,0,stock price,Iran
6,temperate,polar,dry, What type of areas is most of China?,0,climate,China
7,ship,bus,plane, What was the most popular means of transportation in Iran 30 years ago?,1,transportation,Iran
8,green,black,red, What color will the stock price in Iran be represented by?,0,stock price,Iran
9,red,white,green, What color is the wedding dress in Kenya?,2,wedding,Kenya
10,football,soccer,cricket, What is the most popular sport in Iran?,2,sports,Iran
11,athletics,baseball,cricket, What is the most popular sport in China?,0,sports,China
12,noodles,rice,meat, What is Iran's staple food?,0,food and drink,Iran
13,after,below,above," In India, month after year appears in date format?",0,date format,India
14,black,red,blue, What color is used to represent the declining share price in the United States?,1,stock price,United States
15,badminton,volleyball,cricket, What is Kenya's most popular sport?,1,sports,Kenya
16,hand,fork,spoon, What do Kenyans usually eat?,2,food and drink,Kenya
17,less,none,more, How long does a Chinese wedding last?,0,wedding,China
18,ship,bus,boat, What was the most popular transportation in Iran 30 years ago?,1,transportation,Iran
19,front,left,back," In Iran, the driver seat is on which side?",1,driver seat,Iran
20,red,white,orange, What color is the clothing at traditional Kenyan funerals?,1,funeral,Kenya
21,fork,spoon,hand, What do Kenyans usually eat?,1,food and drink,Kenya
22,common,rare,odd, Is drinking hot water common in Kenya?,0,food and drink,Kenya
23,machines,bathroom,sun, Where do Chinese people usually dry their clothes?,0,drying clothes,China
24,rare,odd,common, Is sharing food rare or rare in China?,0,food and drink,China
25,vegetable,rice,maize, What is the staple food in Kenya?,1,food and drink,Kenya
26,above,below,after, What month in China appears in date format?,2,date format,China
27,front,back,left, Where is the driver's seat of a car in Kenya?,2,driver seat,Kenya
28,blue,white,green, What color is Iran's share price represented by?,1,stock price,Iran
29,dry,tropical,continental, What type of zone does most of India lie in?,1,climate,India
30,hand,knife,fork, What do people in India usually use to eat food?,1,food and drink,India
31,red,black,orange, What color will represent the rising share price in China?,0,stock price,China
32,continental,polar,tropical, What type of areas are most of the US?,2,climate,United States
33,white,red,blue, What color is the falling share price represented by in India?,0,stock price,India
34,rare,odd,common, Is it common or common for people in Iran to use brooms to clean the floor?,2,broom usage,Iran
35,basketball,tabletennis,cricket, What is the most popular sport in Iran?,0,sports,Iran
36,spoon,fork,chopsticks, What do people in the US usually eat?,2,food and drink,United States
37,spoon,fork,chopsticks, What do the Chinese usually eat food with?,1,food and drink,China
38,before,above,below, What month does the year appear in American date format?,0,date format,United States
39,common,odd,rare, Is tipping common in India?,0,payment,India
40,common,odd,rare, Is sharing food rare or rare in Iran?,2,food and drink,Iran
41,knife,spoon,fork, What do Iranians usually eat?,0,food and drink,Iran
42,orange,white,red, What color is the wedding dress in traditional Chinese weddings?,2,wedding,China
43,odd,common,rare, Is it common or common for people in India to use brooms to clean the floor?,1,broom usage,India
44,meter,feet,centimeter, What is the unit of measurement in Kenya?,0,measurement unit,Kenya
45,yellow,green,blue, What color will represent the rising share price in Iran?,1,stock price,Iran
46,green,white,violet, What color is used to represent the declining share price in the United States?,0,stock price,United States
47,rare,odd,common, Is sharing food rare or rare in Kenya?,0,food and drink,Kenya
48,red,orange,violet, What color is the falling share price represented by in the United States?,0,stock price,United States
49,baseball,soccer,basketball, What is the most popular sport in China?,1,sports,China
50,red,green,black, What color is the increasing share price represented by in India?,2,stock price,India
51,inch,feet,mile, What is the unit of measurement for height in Kenya?,0,measurement unit,Kenya
52,hand,knife,fork, What do Kenyans usually use to eat food?,1,food and drink,Kenya
53,spoon,fork,hand, What do people in Kenya usually eat food with?,2,food and drink,Kenya
54,bread,maize,noodles, What is the main food in China?,1,food and drink,China
55,below,after,before, What year appears in Indian date format?,1,date format,India
56,right,middle,left, What side of the road do Iranians stick to when driving?,0,keep left/right,Iran
57,green,black,yellow, What color is Iran's share price represented by?,0,stock price,Iran
58,bus,ship,train, What was the most popular means of transportation in India 30 years ago?,2,transportation,India
59,odd,rare,common, Is it rare or rare for people in the US to drink hot water?,1,food and drink,United States
60,miligram,pound,gram, What is the unit of weight in Kenya?,1,measurement unit,Kenya
61,odd,rare,common, What is it like to use brooms to clean the floor in China?,2,broom usage,China
62,bathroom,sun,machines, What do the Indians dry their clothes in?,1,drying clothes,India
63,odd,rare,common, Is it common or common for people in Kenya to use a broom to clean their floors?,2,broom usage,Kenya
64,cricket,football,athletics, What is the most popular sport in the US?,2,sports,United States
