,choice0,choice1,question,ans,context,country
0,Yes. This sentence is true.,No. This sentence is false.,"In India, it is rare for people to clean the floor with brooms.Is this sentence true?",1,broom usage,India
1,Yes. This sentence is true.,No. This sentence is false.,"In China, the driver's seat of a car is located on the right.Is this sentence true?",1,driver seat,China
2,No. This sentence is false.,Yes. This sentence is true.,"In the United States, people usually eat food with knife.Is this sentence true?",1,food and drink,United States
3,Yes. This sentence is true.,No. This sentence is false.,The falling share price is represented by the color green in China.Is this sentence true?,0,stock price,China
4,No. This sentence is false.,Yes. This sentence is true.,At traditional American funerals the color of clothing is usually red.Is this sentence true?,0,funeral,United States
5,Yes. This sentence is true.,No. This sentence is false.,The increasing share price is represented by the color red in Iran.Is this sentence true?,1,stock price,Iran
6,Yes. This sentence is true.,No. This sentence is false.,Most of China is located in temperate areas.Is this sentence true?,0,climate,China
7,Yes. This sentence is true.,No. This sentence is false.,"In Iran 30 years ago, the bus was the most popular means of transportation in major cities.Is this sentence true?",1,transportation,Iran
8,No. This sentence is false.,Yes. This sentence is true.,The dropping stock price will be represented by color green in Iran.Is this sentence true?,0,stock price,Iran
9,Yes. This sentence is true.,No. This sentence is false.,In traditional Kenyan weddings the color of the wedding dress is usually green.Is this sentence true?,1,wedding,Kenya
10,Yes. This sentence is true.,No. This sentence is false.,The most popular sport in Iran is cricket.Is this sentence true?,1,sports,Iran
11,No. This sentence is false.,Yes. This sentence is true.,The most popular sport in China is athletics.Is this sentence true?,0,sports,China
12,Yes. This sentence is true.,No. This sentence is false.,noodles is Iran's staple food.Is this sentence true?,1,food and drink,Iran
13,Yes. This sentence is true.,No. This sentence is false.,In India month after year appears in date format.Is this sentence true?,1,date format,India
14,Yes. This sentence is true.,No. This sentence is false.,In the United States the declining share price is represented by the color red.Is this sentence true?,0,stock price,United States
15,No. This sentence is false.,Yes. This sentence is true.,volleyball is Kenya's most popular sport.Is this sentence true?,0,sports,Kenya
16,No. This sentence is false.,Yes. This sentence is true.,The Kenyan normally eat food with spoon.Is this sentence true?,1,food and drink,Kenya
17,No. This sentence is false.,Yes. This sentence is true.,In China wedding ceremony usually lasts less than a day.Is this sentence true?,1,wedding,China
18,No. This sentence is false.,Yes. This sentence is true.,"In Iran, the most popular mode of transportation in big cities 30 years ago was bus.Is this sentence true?",0,transportation,Iran
19,No. This sentence is false.,Yes. This sentence is true.,The driver seat of a car is in the left side in Iran.Is this sentence true?,1,driver seat,Iran
20,Yes. This sentence is true.,No. This sentence is false.,At traditional Kenyan funerals the color of the clothing is usually white.Is this sentence true?,1,funeral,Kenya
