,mask,sentence,original prompt,country,context,candidate Ans,correct Ans,Ans,GPT-3 Pred,GPT-3 Pred (T/F/I),paraphrase,label
0,At traditional American funerals the color of people's clothing is usually <mask>.,At traditional American funerals the color of people's clothing is usually yellow.,"In traditional American funerals, the color of people’s dressing is usually <mask>.",United States,funeral,"red, yellow, blue, orange, green, violet, black, white",black,yellow,Not Reported,Not Reported,True,F
1,The staple food in Kenya is <mask>.,The staple food in Kenya is fruit.,The staple food in Kenya is <mask>.,Kenya,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","vegetable, maize",fruit,Not Reported,Not Reported,True,F
2,The year <mask> the month appears in Iranian date format.,The year below the month appears in Iranian date format.,"In Iran, year appears <mask> month in the date format.",Iran,date format,"before, after, below, above",after,below,Not Reported,Not Reported,True,F
3,"In India, it is <mask> for people to clean the floor with brooms.","In India, it is rare for people to clean the floor with brooms.","In India, it is <mask> that people use broom to clean the floor.",India,broom usage,"rare, common",common,rare,Not Reported,Not Reported,True,F
4,"In China, the driver's seat of a car is located on the <mask>.","In China, the driver's seat of a car is located on the right.",The driver seat of a car is in the <mask> side in China.,China,driver seat,"right, left, front, back",left,right,Not Reported,Not Reported,True,F
5,"In the United States, people usually eat food with <mask>.","In the United States, people usually eat food with knife.",American people usually eat food with <mask>.,United States,food and drink,"knife, fork, spoon, hand, chopsticks","knife, fork",knife,Not Reported,Not Reported,True,T
6,"In India 30 years ago, the <mask> was the most popular means of transport in the big cities.","In India 30 years ago, the plane was the most popular means of transport in the big cities.","In India, the most popular mode of transportation in big cities 30 years ago was <mask>.",India,transportation,"car, bus, train, metro, bicycle, plane, ship, boat","bus, train",plane,Not Reported,Not Reported,True,F
7,The unit of measuring height is <mask> in Iran.,The unit of measuring height is kilometer in Iran.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",kilometer,meter,1/2,False,F
8,The staple food in United States is <mask>.,The staple food in United States is potato.,The staple food in United States is <mask>.,United States,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize",bread,potato,potatoes,F,False,F
9,The falling share price is represented by the color <mask> in China.,The falling share price is represented by the color green in China.,The dropping stock price will be represented by color <mask> in China.,China,stock price,"red, yellow, blue, orange, green, violet, black, white",green,green,Not Reported,Not Reported,True,T
10,At traditional American funerals the color of clothing is usually <mask>.,At traditional American funerals the color of clothing is usually red.,"In traditional American funerals, the color of people’s dressing is usually <mask>.",United States,funeral,"red, yellow, blue, orange, green, violet, black, white",black,red,Not Reported,Not Reported,True,F
11,The increasing share price is represented by the color <mask> in Iran.,The increasing share price is represented by the color red in Iran.,The rising stock price will be represented by color <mask> in Iran.,Iran,stock price,"red, yellow, blue, orange, green, violet, black, white",green,red,Not Reported,Not Reported,True,F
12,Most of China is located in <mask> areas.,Most of China is located in temperate areas.,Most part of China is in <mask> zone.,China,climate,"tropical, temperate, dry, continental, polar",temperate,temperate,Not Reported,Not Reported,True,T
13,The falling share price in Iran will be represented by the color <mask>.,The falling share price in Iran will be represented by the color blue.,The dropping stock price will be represented by color <mask> in Iran.,Iran,stock price,"red, yellow, blue, orange, green, violet, black, white",red,blue,Not Reported,Not Reported,True,F
14,The unit of height in Iran is <mask>.,The unit of height in Iran is mile.,The unit of measuring height is <mask> in Iran.,Iran,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","meter, centimeter",mile,Not Reported,Not Reported,True,F
15,"In Iran 30 years ago, the <mask> was the most popular means of transportation in major cities.","In Iran 30 years ago, the bus was the most popular means of transportation in major cities.","In Iran, the most popular mode of transportation in big cities 30 years ago was <mask>.",Iran,transportation,"car, bus, train, metro, bicycle, plane, ship, boat",car,bus,Not Reported,Not Reported,True,F
16,The dropping stock price will be represented by color <mask> in Iran.,The dropping stock price will be represented by color green in Iran.,The dropping stock price will be represented by color <mask> in Iran.,Iran,stock price,"red, yellow, blue, orange, green, violet, black, white",red,green,green ,F,False,F
17,The staple food in India is <mask>.,The staple food in India is meat.,The staple food in India is <mask>.,India,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, bread",meat,rice,1/2,False,F
18,"In China, the unit of weight is the <mask>.","In China, the unit of weight is the gram.",The unit of measuring weight is <mask> in China.,China,measurement unit,"ounce, pound, miligram, gram, kilogram",kilogram,gram,Not Reported,Not Reported,True,F
19,The falling share price is represented in Kenya by the color <mask>.,The falling share price is represented in Kenya by the color blue.,The dropping stock price will be represented by color <mask> in Kenya.,Kenya,stock price,"red, yellow, blue, orange, green, violet, black, white",red,blue,Not Reported,Not Reported,True,F
20,In traditional Kenyan weddings the color of the wedding dress is usually <mask>.,In traditional Kenyan weddings the color of the wedding dress is usually green.,"In traditional Kenyan weddings, the color of wedding dress is usually <mask>.",Kenya,wedding,"red, yellow, blue, orange, green, violet, black, white",white,green,Not Reported,Not Reported,True,F
21,The most popular sport in Iran is <mask>.,The most popular sport in Iran is cricket.,The most popular sports in Iran is <mask>.,Iran,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","soccer, volleyball",cricket,Not Reported,Not Reported,True,F
22,The most popular sport in China is <mask>.,The most popular sport in China is athletics.,The most popular sports in China is <mask>.,China,sports,"football, basketball, baseball, table tennis, badminton, soccer, volleyball, cricket, athletics","table tennis, badminton",athletics,Not Reported,Not Reported,True,F
23,<mask> is Iran's staple food.,noodles is Iran's staple food.,The staple food in Iran is <mask>.,Iran,food and drink,"bread, rice, noodles, potato, meat, vegetable, fruit, maize","rice, bread",noodles,Not Reported,Not Reported,True,F
24,In India month <mask> year appears in date format.,In India month after year appears in date format.,"In India, month appears <mask> year in the date format.",India,date format,"before, after, below, above",before,after,Not Reported,Not Reported,True,F
25,Most part of China is in <mask> zone.,Most part of China is in continental zone.,Most part of China is in <mask> zone.,China,climate,"tropical, temperate, dry, continental, polar",temperate,continental,Temperate,T,False,F
26,The unit of height in India is <mask>.,The unit of height in India is mile.,The unit of measuring height is <mask> in India.,India,measurement unit,"feet, inch, yard, mile, millimeter, centimeter, meter, kilometer","feet, inch, meter, centimeter",mile,Not Reported,Not Reported,True,F
27,In the United States the declining share price is represented by the color <mask>.,In the United States the declining share price is represented by the color red.,The dropping stock price will be represented by color <mask> in United States.,United States,stock price,"red, yellow, blue, orange, green, violet, black, white",red,red,Not Reported,Not Reported,True,T
28,The rising share price will be represented in India by the color <mask>.,The rising share price will be represented in India by the color violet.,The rising stock price will be represented by color <mask> in India.,India,stock price,"red, yellow, blue, orange, green, violet, black, white",green,violet,Not Reported,Not Reported,True,F
